pathway	NOP2	DNA_REPLICATION
TCGA.5C.AAPD.01A.21R.A39D.07	4.773612629	-0.032833966
TCGA.RC.A6M5.01A.11R.A32O.07	4.771706314	-0.459239331
TCGA.BC.A110.01A.11R.A131.07	4.759510524	-0.48287823
TCGA.DD.A116.01A.11R.A131.07	4.759252081	-0.160680631
TCGA.G3.A25X.01A.11R.A16W.07	4.758387283	-0.092469164
TCGA.CC.A7IG.01A.11R.A33J.07	4.744977806	0.052824241
TCGA.RC.A7SH.01A.11R.A38B.07	4.742234919	-0.040122653
TCGA.DD.A73F.01A.11R.A32O.07	4.73211941	0.055584028
TCGA.DD.A39X.01A.11R.A213.07	4.731575781	-0.309476575
TCGA.DD.AADM.01A.11R.A41C.07	4.728387673	-0.179045871
TCGA.G3.A25S.01A.11R.A16W.07	4.728236301	-0.024336301
TCGA.FV.A2QQ.01A.11R.A22L.07	4.727596688	-0.389205224
TCGA.DD.A3A5.01A.11R.A22L.07	4.717025765	-0.087948432
TCGA.DD.A73C.01A.12R.A33J.07	4.703377197	-0.265755359
TCGA.DD.AADA.01A.11R.A41C.07	4.695909457	-0.350836952
TCGA.CC.5260.01A.01R.A131.07	4.692051753	0.133456639
TCGA.DD.A1EJ.01A.11R.A155.07	4.684412994	0.146400227
TCGA.NI.A4U2.01A.11R.A28V.07	4.680165253	-0.415950485
TCGA.DD.A3A9.01A.11R.A266.07	4.677238613	-0.271006438
TCGA.CC.A123.01A.11R.A131.07	4.67004353	-0.158090294
TCGA.5R.AA1D.01A.11R.A38B.07	4.657364512	-0.393382863
TCGA.DD.A4NA.01A.11R.A266.07	4.647230672	-0.051886299
TCGA.DD.AACE.01A.11R.A41C.07	4.646298904	-0.108579106
TCGA.DD.A39Y.01A.11R.A213.07	4.645839016	0.076123416
TCGA.DD.AADN.01A.11R.A41C.07	4.636409863	0.013085492
TCGA.CC.5259.01A.31R.A213.07	4.630465636	-0.258733603
TCGA.DD.A4NB.01A.12R.A266.07	4.626830312	-0.419062601
TCGA.DD.A4NF.01A.11R.A27V.07	4.626091273	-0.226192889
TCGA.O8.A75V.01A.11R.A32O.07	4.622651291	-0.284300974
TCGA.DD.A118.01A.11R.A131.07	4.614967978	-0.221547403
TCGA.XR.A8TG.01A.11R.A36F.07	4.591538767	0.131582601
TCGA.DD.AAEE.01A.11R.A41C.07	4.580812493	0.081858708
TCGA.GJ.A6C0.01A.12R.A311.07	4.579211628	-0.106688003
TCGA.BC.A69H.01A.11R.A311.07	4.578111062	-0.049817106
TCGA.2Y.A9GW.01A.11R.A38B.07	4.567182381	-0.361202714
TCGA.DD.AACO.01A.11R.A41C.07	4.55197135	-0.123306987
TCGA.G3.A3CK.01A.11R.A213.07	4.550461117	-0.066514593
TCGA.ZP.A9CV.01A.11R.A38B.07	4.533653809	-0.226071615
TCGA.DD.A39W.01A.11R.A213.07	4.53047886	0.028508294
TCGA.T1.A6J8.01A.11R.A32O.07	4.530108853	-0.36256534
TCGA.2Y.A9H3.01A.11R.A38B.07	4.522106034	-0.38883262
TCGA.DD.AAE4.01A.11R.A41C.07	4.519208912	-0.154330023
TCGA.G3.A25T.01A.11R.A16W.07	4.517463851	-0.067560323
TCGA.DD.AAE3.01A.11R.A41C.07	4.516323479	-0.347673354
TCGA.WQ.AB4B.01A.11R.A41C.07	4.515949734	-0.358272826
TCGA.FV.A3R3.01A.11R.A22L.07	4.511568268	-0.439831827
TCGA.PD.A5DF.01A.11R.A27V.07	4.508927642	0.006946202
TCGA.EP.A2KA.01A.11R.A180.07	4.503921158	0.064995369
TCGA.G3.AAV0.01A.11R.A37K.07	4.500357919	-0.35107702
TCGA.BC.A10S.01A.22R.A131.07	4.498806284	-0.414608876
TCGA.DD.AACD.01A.11R.A41C.07	4.497724051	-0.315675069
TCGA.BW.A5NO.01A.11R.A27V.07	4.493598124	-0.215285251
TCGA.EP.A3RK.01A.11R.A22L.07	4.491500378	0.032446313
TCGA.DD.AAC9.01A.11R.A41C.07	4.484716638	-0.439430528
TCGA.DD.AACB.01A.11R.A41C.07	4.471457226	-0.002426428
TCGA.2Y.A9H4.01A.11R.A38B.07	4.465343045	0.034842695
TCGA.ES.A2HT.01A.12R.A180.07	4.460582155	-0.44661061
TCGA.DD.A73G.01A.22R.A32O.07	4.458514648	-0.327600022
TCGA.DD.AACC.01A.11R.A41C.07	4.451548226	-0.298642174
TCGA.G3.A5SI.01A.31R.A27V.07	4.450552221	0.384163727
TCGA.G3.A3CJ.01A.11R.A213.07	4.449162806	-0.262286882
TCGA.BC.A5W4.01A.11R.A28V.07	4.445592546	-0.201580459
TCGA.BC.A217.01A.11R.A155.07	4.438390594	0.057685536
TCGA.BC.A69I.01A.11R.A311.07	4.432486122	-0.314329598
TCGA.DD.AACY.01A.11R.A41C.07	4.425747386	-0.290870819
TCGA.FV.A495.01A.11R.A266.07	4.417957117	-0.200793279
TCGA.FV.A2QR.01A.11R.A213.07	4.381295443	-0.175489058
TCGA.G3.A25Z.01A.11R.A16W.07	4.363987392	-0.241651859
TCGA.CC.5262.01A.01R.A131.07	4.029635573	-0.14795955
TCGA.2Y.A9H1.01A.11R.A38B.07	4.029635573	-0.395297249
TCGA.BD.A2L6.01A.11R.A213.07	4.029635573	0.150048465
TCGA.DD.AAVU.01A.11R.A41C.07	4.029635573	-0.128620314
TCGA.DD.AADJ.01A.11R.A41C.07	4.029635573	-0.207697521
TCGA.G3.AAUZ.01A.11R.A38B.07	4.029635573	-0.05582933
TCGA.DD.AACI.01A.11R.A41C.07	4.029635573	-0.363899087
TCGA.DD.AAEB.01A.11R.A41C.07	4.029635573	-0.29361546
TCGA.DD.A39Z.01A.11R.A213.07	4.029635573	-0.054634869
TCGA.DD.A3A3.01A.11R.A22L.07	4.029635573	-0.296672008
TCGA.DD.A119.01A.11R.A131.07	4.029635573	-0.395725754
TCGA.ES.A2HS.01A.11R.A180.07	4.029635573	-0.275626758
TCGA.DD.A3A1.01A.11R.A213.07	4.029635573	-0.248147659
TCGA.DD.AADI.01A.11R.A41C.07	4.029635573	-0.291174096

